,champion,role,winRate,playPercent,banRate,experience,kills,death,assist,largestKillingSpree,totalDamageDealtToChampions,totalDamageTaken,totalHeal,minionsKilled,neutralMinionsKilledEnemyJungle,neutralMinionsKilledTeamJungle,goldEarned,overallPosition
81,KhaZix,Jungle,0.5149,0.1139,0.0116,7.25,9.02,5.78,5.72,11,17618,28589,12039,37.6,10.68,71.58,11817,3
82,Kindred,Jungle,0.5138,0.0449,0.0017000000000000001,4.13,7.26,6.7,6.85,10,18279,24274,10912,46.3,11.92,66.59,11600,22
83,Kled,Top,0.4963,0.0222,0.0016,6.92,6.02,5.83,7.19,9,17454,33711,2888,155.0,1.75,2.68,11275,31
84,KogMaw,ADC,0.5219,0.0679,0.0088,4.73,8.45,7.11,6.86,10,25255,19984,3303,185.8,2.22,9.7,13051,5
85,LeBlanc,Middle,0.4936,0.0464,0.0088,5.78,7.92,5.85,6.18,9,19343,20509,4537,133.2,1.42,5.38,10977,33
86,LeeSin,Jungle,0.4926,0.1986,0.012199999999999999,11.93,7.11,6.14,8.23,11,13855,28499,7762,35.2,9.14,64.19,11169,7
87,Leona,Support,0.5494,0.1056,0.0111,5.18,2.6,5.67,14.22,6,8507,21707,3856,42.9,0.1,0.13,9480,7
88,Lissandra,Middle,0.5094,0.0134,0.0003,3.91,5.73,6.26,8.2,8,19561,21818,3412,173.7,1.43,5.55,11473,31
89,Lissandra,Top,0.48310000000000003,0.0046,0.0003,5.28,4.71,6.06,7.23,7,18606,21605,3344,180.9,1.21,2.76,11248,46
90,Lucian,ADC,0.48700000000000004,0.1252,0.0031,9.62,7.97,6.43,6.95,12,21240,20992,3454,191.5,2.64,8.33,12970,10
91,Lucian,Middle,0.45439999999999997,0.026000000000000002,0.0031,16.33,6.93,6.58,5.71,10,19961,21762,2731,178.3,2.8,9.55,11990,40
92,Lulu,Support,0.5292,0.12619999999999998,0.0302,7.71,2.03,5.25,14.86,5,7385,14629,2432,17.7,0.16,0.22,9510,2
93,Lux,Middle,0.53,0.0698,0.0011,5.63,6.59,5.49,8.9,10,21347,14764,1161,156.0,0.94,4.64,11423,8
94,Lux,Support,0.4875,0.0336,0.0011,7.54,4.69,6.45,11.85,8,17721,14433,1246,44.5,0.49,1.12,10724,22
95,Malphite,Support,0.4805,0.0043,0.001,6.72,4.15,6.0,10.93,8,14113,19130,2513,44.4,0.53,1.8,9998,27
